stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
540,FORT FRANCES,48.6102819163353,-93.3865499775858,0
541,COUCHICHING F.N.,48.6331159807742,-93.3617499377579,0
542,ATIKOKAN,48.7536289729178,-91.6039009764791,0
543,TIME ZONE.,48.7288369797171,-91.6493419557811,0
545,FORT FRANCES REST STOP,48.6069199349732,-93.4242559690029,0
548,LAKE WOODS HOSPITAL,49.7673969436437,-94.500511949882,0
549,OTTAWA HOSPITAL,45.3999699186534,-75.6473699770869,0
550,CHEO HOSPITAL,45.3996599558741,-75.6511499639601,0
551,OTTAWA - VIA RAIL,45.4166999459267,-75.6519799400122,0
222,UNION STATION BUS TERMINAL,43.6438749544323,-79.3773019686342,0
229,KING CITY GO STATION,43.9204929303378,-79.5260149519891,0
474,KANATA,45.3097619488836,-75.9062019735575,0
230,KINGSWAY,46.4952649734915,-80.8876989595593,0
552,WAWA - REST STOP,47.9910649638623,-84.7726599499584,0
554,NIPIGON - REST STOP,49.0212539210916,-88.2887809909881,0
553,MARATHON - REST STOP,48.7264649849385,-86.3768619205803,0
314,EMSDALE,45.512178959325,-79.3034029193223,0
315,BARRIE ALLANDALE TERMINAL,44.374098982662,-79.6901938878,0
234,GRAVENHURST REST STOP,44.8866299819202,-79.3488499335945,0
556,RICHER,49.6620829403401,-96.4565369300545,0
557,LANDMARK HOTEL,48.4517839830369,-89.2509239818902,0
193,DRIFTWOOD,49.1211089584977,-81.382217919454,0
161,EDU CENTRE LOWER RES,46.3342339452357,-79.4882049411536,0
301,ORILLIA TRANSIT,44.6089249569923,-79.4203209970147,0
302,MATTAGAMI FIRST NATION,47.7989999391139,-81.5223079361022,0
235,BRACEBRIDGE REST STOP,45.0437299814076,-79.3225779477508,0
236,ARDTREA northbound,44.6790719311685,-79.4063709955663,0
237,SESEKINIKA southbound,48.2086320966483,-80.2606009226293,0
238,KENOGAMI southbound,48.0997579637915,-80.1952149532736,0
239,CHALK RIVER westbound,46.0190019663424,-77.4495499860496,0
612,GARDINER,49.3075359798968,-81.0279139503837,0
561,DRYDEN REST STOP,49.7868329845369,-92.8321669623257,0
475,PIC MOBERT FIRST NATION,48.7006989307702,-85.5368269979954,0
490,SAULT STE MARIE,46.5460809320212,-84.3241769168527,0
