Station ID,Stations,State/Province,Type,Zone,Time zone diff,Latitude,Longitude
469,SHABAQUA CORNERS,ON,,1,0,48.601580,-89.892680
140,SHAWANAGA RD N,ON,,1,0,45.547825,-80.280364
454,SHEGUIANDAH,ON,,1,0,45.882878,-81.916063
181,SHILLINGTON,ON,,1,0,48.537791,-80.680711
464,SIOUX LOOKOUT,ON,,1,0,50.101940,-91.905180
536,SIOUX NARROWS,ON,,1,0,49.407583,-94.094612
194,SMOOTH ROCK FALLS,ON,,1,0,49.280229,-81.633338
223,SOLDIERS MEMORIAL HOSPITAL,ON,,1,0,44.605314,-79.423345
451,SOUTH BAYMOUTH,ON,,1,0,45.563397,-82.011087
187,SOUTH PORCUPINE,ON,,1,0,48.485373,-81.211240
158,SOUTH RIVER,ON,,1,0,45.838877,-79.378443
482,SOUTH RIVER - TRAIN DEPOT,ON,,1,0,45.841666,-79.375638
528,SOUTHDALE MALL,MN,,1,0,49.854448,-97.078521
408,SPANISH,ON,,1,0,46.195940,-82.345560
409,SPRAGGE,ON,,1,0,46.211750,-82.601820
448,SPRING BAY,ON,,1,0,45.731758,-82.326118
527,STE. ANNE,MN,,1,0,49.671275,-96.654506
426,STONECLIFFE,ON,,1,0,46.213283,-77.896782
195,STRICKLAND,ON,,1,0,49.287980,-81.867711
102,STURGEON FALLS,ON,,1,0,46.366568,-79.917066
129,SUDBURY,ON,,1,0,46.504998,-80.938118
213,SUDBURY TRANSIT,ON,,1,0,46.492906,-80.991627
157,SUNDRIDGE,ON,,1,0,45.770430,-79.392231
175,SWASTIKA,ON,,1,0,48.107850,-80.103971
486,SWASTIKA DEPOT,ON,,1,0,48.108278,-80.104287
508,TB HEALTH SCIENCES CTR,ON,,1,0,48.426016,-89.270279
455,TEHKUMMAH,ON,,1,0,45.655393,-82.014521
164,TEMAGAMI,ON,,1,0,47.063711,-79.789197
488,TEMAGAMI STATION,ON,,1,0,47.063800,-79.788930
216,TEMISKAMING HOSPITAL,ON,,1,0,47.495249,-79.693891
484,TEMISKAMING SHORES STATION,ON,,1,0,47.510377,-79.687403
501,TERRACE BAY,ON,,1,0,48.783002,-87.100109
412,THESSALON,ON,,1,0,46.256643,-83.557427
170,THORNLOE,ON,,1,0,47.667730,-79.737972
507,THUNDER BAY,ON,,1,0,48.372586,-89.303263
510,THUNDER BAY TRANSIT-INTERCITY SHOPPING CENTRE,ON,,1,0,48.403440,-89.243029
514,THUNDER BAY WEST (600 ARTHUR ST),ON,,1,0,48.380560,-89.295809
162,TILDEN LAKE,ON,,1,0,46.582619,-79.637895
533,TIME ZONE,ON,,1,0,48.902720,-90.027417
543,TIME ZONE.,ON,,1,0,48.728837,-91.649342
185,TIMMINS,ON,,1,0,48.474627,-81.326806
217,TIMMINS HOSPITAL,ON,,1,0,48.487074,-81.314394
211,TORONTO,ON,,1,0,43.655905,-79.385384
233,Toronto - Pearson UP Express,ON,,1,0,43.682388,-79.612537
489,TORONTO - UNION STATION TRAIN,ON,,1,0,43.645521,-79.381031
148,TORONTO DVP,ON,,1,0,43.763284,-79.337095
159,TROUT CREEK,ON,,1,0,45.986895,-79.359553
222,UNION STATION BUS TERMINAL,ON,,1,0,43.643875,-79.377302
531,UNIVERSITY OF WINNIPEG,MN,,1,0,49.891257,-97.152624
520,UPSALA,ON,,1,0,49.041418,-90.468471
203,VAL COTÉ,ON,,1,0,49.643236,-83.404584
188,VAL GAGNÉ,ON,,1,0,48.602827,-80.638494
220,VAL RITA,ON,,1,0,49.443812,-82.540114
219,VAUGHAN - HWY 407,ON,,1,0,43.783446,-79.523574
524,VERMILION BAY,ON,,1,0,49.854894,-93.384541
101,VERNER,ON,,1,0,46.414650,-80.133940
530,WABIGOON,ON,,1,0,49.720893,-92.603712
410,WAHNAPITAE,ON,,1,0,46.487700,-80.789910
100,WARREN,ON,,1,0,46.442031,-80.311163
151,WASHAGO,ON,,1,0,44.750393,-79.333544
478,WASHAGO - TRAIN STATION,ON,,1,0,44.748981,-79.334703
311,WASSI RD,ON,,1,0,46.196966,-79.357291
122,WATERSHED,ON,,1,0,47.471699,-81.846996
146,WAUBAUSHENE,ON,,1,0,44.756600,-79.701777
422,WAWA,ON,,1,0,47.983344,-84.780006
552,WAWA - REST STOP,ON,,1,0,47.991065,-84.772660
406,WEBBWOOD,ON,,1,0,46.269820,-81.886120
423,WHITE RIVER,ON,,1,0,48.593008,-85.274900
456,WHITEFISH FALLS,ON,,1,0,46.116981,-81.734729
452,WIIKWEMKOONG,ON,,1,0,45.788649,-81.736934
529,WINNIPEG,MB,,1,0,49.906621,-97.154173
559,WINNIPEG-AIRPORT,MB,,,,49.905006,-97.223548
558,WINNIPEG-CHURCH AVE,MB,,,,49.941361,-97.190574
560,WINNIPEG-HOSPITAL,MB,,,,49.903610,-97.157101
601,WURTELE,ON,,1,0,49.407730,-81.059905
210,YORKDALE,ON,,1,0,43.724947,-79.448807
