shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3a60d038-bf9e-43d0-9a0d-2adcbc771f2c,44.3393131035696,-79.6804302798975,138,14691.23
2dd22216-f2a2-4a2f-87dc-ac1647b90014,44.355333,-79.714754,52,5338.15
33c75c11-ce10-45d4-a0ad-d91664591a4f,44.3749850663421,-79.6889119181075,5,171.95
046ee6e1-cbd4-4d4b-9d07-d42905039433,44.3912189836037,-79.6792292403716,13,1303.3
b432141f-1e33-4476-83b5-d10122614ac0,44.4074402863619,-79.6849183019861,49,1896.05
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.4004401843582,-79.649625727702,53,3904.14
0f222b01-e747-4b9d-be96-92877cec5877,44.37959209,-79.69351954,114,16491.35
0f222b01-e747-4b9d-be96-92877cec5877,44.32395013,-79.69301672,36,3088.89
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3906167570807,-79.6913712015251,235,22484.1
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.396622587778,-79.6965146149774,24,2445.71
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.4123657952496,-79.6693883396424,379,29359.76
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3275141379711,-79.7155725565011,81,10173.17
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3411759749593,-79.6797534432106,77,6388.26
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3487097163768,-79.670142523571,34,4959.24
2dd22216-f2a2-4a2f-87dc-ac1647b90014,44.3356147635226,-79.6844247725299,20,1085.45
f3ecaf75-852c-413c-b94b-18c55007cf18,44.3745887613664,-79.7110784182978,43,7439.09
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3218139306702,-79.7191263277733,84,10870.98
046ee6e1-cbd4-4d4b-9d07-d42905039433,44.4136110501377,-79.6690473669714,69,6905.33
c98a43cc-207a-46d4-85ee-08685d7a2d42,44.3219593298437,-79.7271201348673,31,5010.35
b432141f-1e33-4476-83b5-d10122614ac0,44.4070869163909,-79.7098834163708,95,5254.07
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.343538732384,-79.6496798874192,17,2360.6
913c0655-760b-47c2-b047-01af413b83b5,44.3390015000806,-79.6803814229649,109,10244.48
627eb4ad-5ed6-4a87-9511-c02654004b05,44.36936283,-79.70862279,109,13595.38
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.33854098,-79.72003714,196,15653.92
7cceab4f-4848-411d-af4d-516653b12c9b,44.3751375260957,-79.6988945594062,120,9998.27
33c75c11-ce10-45d4-a0ad-d91664591a4f,44.3696581783387,-79.6678007650625,41,2586.99
046ee6e1-cbd4-4d4b-9d07-d42905039433,44.4122049100765,-79.6733281104024,105,7855.56
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.4164005279766,-79.6584840334326,23,1354.67
14bbc026-fddd-46b2-8ec7-13a222e92ce0,44.3416930231617,-79.6783891289212,49,6235.83
627eb4ad-5ed6-4a87-9511-c02654004b05,44.3993469495963,-79.6904209361013,181,19355.16
c3921239-be69-4edd-9727-a1656c7c1df2,44.3637232682902,-79.7153865529087,95,8439.96
7cceab4f-4848-411d-af4d-516653b12c9b,44.4078274147992,-79.6838939044089,37,1813.19
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3504156843045,-79.6299739006127,6,243.22
285d1870-9270-462a-a590-956ee6c5a4f8,44.4087780297585,-79.710907787209,123,12274.05
2dd22216-f2a2-4a2f-87dc-ac1647b90014,44.369188569179,-79.7144500262588,71,6949.08
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.400760780745,-79.7146127181924,38,4490.31
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.4147112276782,-79.6654873706961,356,28794.7
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.33201262,-79.69937219,197,21618.19
b432141f-1e33-4476-83b5-d10122614ac0,44.4131720441054,-79.7011605878124,71,3885.8
